accession,experiment,experiment,instrument,run,spots,bases,size,published
SRR5720338,SRX2937216,SRX2937216[accn],NextSeq 550,SRR5720338,"36,979,656",11.1G,4.5Gb,5/1/18
SRR5720338,SRX2937216,SRX2937216[accn],NextSeq 550,SRR5720338,"36,979,656",11.1G,4.5Gb,5/1/18
SRR5720339,SRX2937215,SRX2937215[accn],NextSeq 550,SRR5720339,"39,799,254",11.9G,4.8Gb,5/1/18
SRR5720339,SRX2937215,SRX2937215[accn],NextSeq 550,SRR5720339,"39,799,254",11.9G,4.8Gb,5/1/18
SRR5720336,SRX2937218,SRX2937218[accn],NextSeq 550,SRR5720336,"35,071,483",10.5G,4.2Gb,5/1/18
SRR5720336,SRX2937218,SRX2937218[accn],NextSeq 550,SRR5720336,"35,071,483",10.5G,4.2Gb,5/1/18
SRR5720337,SRX2937217,SRX2937217[accn],NextSeq 550,SRR5720337,"21,473,448",6.4G,2.6Gb,5/1/18
SRR5720337,SRX2937217,SRX2937217[accn],NextSeq 550,SRR5720337,"21,473,448",6.4G,2.6Gb,5/1/18
SRR5720334,SRX2937220,SRX2937220[accn],NextSeq 550,SRR5720334,"30,926,179",9.3G,3.7Gb,5/1/18
SRR5720334,SRX2937220,SRX2937220[accn],NextSeq 550,SRR5720334,"30,926,179",9.3G,3.7Gb,5/1/18
SRR5720335,SRX2937219,SRX2937219[accn],NextSeq 550,SRR5720335,"34,743,413",10.4G,4.2Gb,5/1/18
SRR5720335,SRX2937219,SRX2937219[accn],NextSeq 550,SRR5720335,"34,743,413",10.4G,4.2Gb,5/1/18
SRR5720342,SRX2937212,SRX2937212[accn],NextSeq 550,SRR5720342,"31,522,929",9.5G,3.8Gb,5/1/18
SRR5720342,SRX2937212,SRX2937212[accn],NextSeq 550,SRR5720342,"31,522,929",9.5G,3.8Gb,5/1/18
SRR5720343,SRX2937211,SRX2937211[accn],NextSeq 550,SRR5720343,"28,856,326",8.7G,3.6Gb,5/1/18
SRR5720343,SRX2937211,SRX2937211[accn],NextSeq 550,SRR5720343,"28,856,326",8.7G,3.6Gb,5/1/18
SRR5720234,SRX2937320,SRX2937320[accn],NextSeq 550,SRR5720234,"26,654,563",8G,3.3Gb,5/1/18
SRR5720234,SRX2937320,SRX2937320[accn],NextSeq 550,SRR5720234,"26,654,563",8G,3.3Gb,5/1/18
SRR5720233,SRX2937321,SRX2937321[accn],NextSeq 550,SRR5720233,"20,031,665",6G,2.5Gb,5/1/18
SRR5720233,SRX2937321,SRX2937321[accn],NextSeq 550,SRR5720233,"20,031,665",6G,2.5Gb,5/1/18
SRR5720232,SRX2937322,SRX2937322[accn],NextSeq 550,SRR5720232,"27,855,946",8.4G,3.2Gb,5/1/18
SRR5720232,SRX2937322,SRX2937322[accn],NextSeq 550,SRR5720232,"27,855,946",8.4G,3.2Gb,5/1/18
SRR5720231,SRX2937323,SRX2937323[accn],NextSeq 550,SRR5720231,"27,754,160",8.3G,3.4Gb,5/1/18
SRR5720231,SRX2937323,SRX2937323[accn],NextSeq 550,SRR5720231,"27,754,160",8.3G,3.4Gb,5/1/18
SRR5720238,SRX2937316,SRX2937316[accn],NextSeq 550,SRR5720238,"26,097,780",7.8G,3.3Gb,5/1/18
SRR5720238,SRX2937316,SRX2937316[accn],NextSeq 550,SRR5720238,"26,097,780",7.8G,3.3Gb,5/1/18
SRR5720237,SRX2937317,SRX2937317[accn],NextSeq 550,SRR5720237,"27,661,750",8.3G,3.5Gb,5/1/18
SRR5720237,SRX2937317,SRX2937317[accn],NextSeq 550,SRR5720237,"27,661,750",8.3G,3.5Gb,5/1/18
SRR5720236,SRX2937318,SRX2937318[accn],NextSeq 550,SRR5720236,"40,112,857",12G,4.9Gb,5/1/18
SRR5720236,SRX2937318,SRX2937318[accn],NextSeq 550,SRR5720236,"40,112,857",12G,4.9Gb,5/1/18
SRR5720235,SRX2937319,SRX2937319[accn],NextSeq 550,SRR5720235,"13,300,975",4G,1.6Gb,5/1/18
SRR5720235,SRX2937319,SRX2937319[accn],NextSeq 550,SRR5720235,"13,300,975",4G,1.6Gb,5/1/18
SRR5720230,SRX2937324,SRX2937324[accn],NextSeq 550,SRR5720230,"33,880,679",10.2G,4.2Gb,5/1/18
SRR5720230,SRX2937324,SRX2937324[accn],NextSeq 550,SRR5720230,"33,880,679",10.2G,4.2Gb,5/1/18
SRR5720229,SRX2937325,SRX2937325[accn],NextSeq 550,SRR5720229,"33,805,701",10.1G,4.2Gb,5/1/18
