experiment,instrument,run,spots,bases,size,published
SRX2320169[accn],Illumina HiSeq 2500,SRR4833053,"19,392,134",4.8G,2.6Gb,2016-11-09
SRX2320273[accn],Illumina HiSeq 2500,SRR4833084,"14,690,598",3.7G,2Gb,2016-11-09
SRX2937227[accn],NextSeq 550,SRR5720327,"27,210,818",8.2G,3.2Gb,2018-05-01
SRX2937227[accn],NextSeq 550,SRR5720327,"27,210,818",8.2G,3.2Gb,2018-05-01
SRX2937228[accn],NextSeq 550,SRR5720326,"37,828,867",11.3G,4.5Gb,2018-05-01
SRX2937228[accn],NextSeq 550,SRR5720326,"37,828,867",11.3G,4.5Gb,2018-05-01
SRX2937221[accn],NextSeq 550,SRR5720333,"27,382,064",8.2G,3.3Gb,2018-05-01
SRX2937221[accn],NextSeq 550,SRR5720333,"27,382,064",8.2G,3.3Gb,2018-05-01
SRX2937222[accn],NextSeq 550,SRR5720332,"22,197,442",6.7G,2.7Gb,2018-05-01
SRX2937222[accn],NextSeq 550,SRR5720332,"22,197,442",6.7G,2.7Gb,2018-05-01
SRX2937214[accn],NextSeq 550,SRR5720340,"22,703,083",6.8G,2.8Gb,2018-05-01
SRX2937214[accn],NextSeq 550,SRR5720340,"22,703,083",6.8G,2.8Gb,2018-05-01
SRX2937213[accn],NextSeq 550,SRR5720341,"30,123,808",9G,3.9Gb,2018-05-01
SRX2937213[accn],NextSeq 550,SRR5720341,"30,123,808",9G,3.9Gb,2018-05-01
SRX2937216[accn],NextSeq 550,SRR5720338,"36,979,656",11.1G,4.5Gb,2018-05-01
SRX2937216[accn],NextSeq 550,SRR5720338,"36,979,656",11.1G,4.5Gb,2018-05-01
SRX2937215[accn],NextSeq 550,SRR5720339,"39,799,254",11.9G,4.8Gb,2018-05-01
SRX2937215[accn],NextSeq 550,SRR5720339,"39,799,254",11.9G,4.8Gb,2018-05-01
SRX2937218[accn],NextSeq 550,SRR5720336,"35,071,483",10.5G,4.2Gb,2018-05-01
SRX2937218[accn],NextSeq 550,SRR5720336,"35,071,483",10.5G,4.2Gb,2018-05-01
SRX2937217[accn],NextSeq 550,SRR5720337,"21,473,448",6.4G,2.6Gb,2018-05-01
SRX2937217[accn],NextSeq 550,SRR5720337,"21,473,448",6.4G,2.6Gb,2018-05-01
SRX2937220[accn],NextSeq 550,SRR5720334,"30,926,179",9.3G,3.7Gb,2018-05-01
SRX2937220[accn],NextSeq 550,SRR5720334,"30,926,179",9.3G,3.7Gb,2018-05-01
SRX2937262[accn],NextSeq 550,SRR5720292,"33,191,291",10G,4Gb,2018-05-01
SRX2937262[accn],NextSeq 550,SRR5720292,"33,191,291",10G,4Gb,2018-05-01
SRX2937263[accn],NextSeq 550,SRR5720291,"35,506,650",10.7G,4.2Gb,2018-05-01
SRX2937263[accn],NextSeq 550,SRR5720291,"35,506,650",10.7G,4.2Gb,2018-05-01
SRX2937264[accn],NextSeq 550,SRR5720290,"37,928,374",11.4G,4.6Gb,2018-05-01
SRX2937264[accn],NextSeq 550,SRR5720290,"37,928,374",11.4G,4.6Gb,2018-05-01
SRX2937265[accn],NextSeq 550,SRR5720289,"15,341,429",4.6G,1.8Gb,2018-05-01
SRX2937265[accn],NextSeq 550,SRR5720289,"15,341,429",4.6G,1.8Gb,2018-05-01
SRX2937266[accn],NextSeq 550,SRR5720288,"12,150,878",3.6G,1.5Gb,2018-05-01
SRX2937266[accn],NextSeq 550,SRR5720288,"12,150,878",3.6G,1.5Gb,2018-05-01
SRX2937267[accn],NextSeq 550,SRR5720287,"13,236,718",4G,1.6Gb,2018-05-01
SRX2937267[accn],NextSeq 550,SRR5720287,"13,236,718",4G,1.6Gb,2018-05-01
SRX2937244[accn],NextSeq 550,SRR5720310,"24,098,907",7.2G,2.8Gb,2018-05-01
SRX2937244[accn],NextSeq 550,SRR5720310,"24,098,907",7.2G,2.8Gb,2018-05-01
SRX2937243[accn],NextSeq 550,SRR5720311,"35,891,185",10.8G,4.3Gb,2018-05-01
SRX2937243[accn],NextSeq 550,SRR5720311,"35,891,185",10.8G,4.3Gb,2018-05-01
SRX2937242[accn],NextSeq 550,SRR5720312,"29,558,270",8.9G,3.6Gb,2018-05-01
SRX2937242[accn],NextSeq 550,SRR5720312,"29,558,270",8.9G,3.6Gb,2018-05-01
SRX2937241[accn],NextSeq 550,SRR5720313,"18,120,933",5.4G,2.2Gb,2018-05-01
SRX2937241[accn],NextSeq 550,SRR5720313,"18,120,933",5.4G,2.2Gb,2018-05-01
SRX2937240[accn],NextSeq 550,SRR5720314,"15,653,365",4.7G,1.8Gb,2018-05-01
SRX2937240[accn],NextSeq 550,SRR5720314,"15,653,365",4.7G,1.8Gb,2018-05-01
SRX2937239[accn],NextSeq 550,SRR5720315,"33,827,557",10.1G,4Gb,2018-05-01
SRX2937239[accn],NextSeq 550,SRR5720315,"33,827,557",10.1G,4Gb,2018-05-01
SRX2937238[accn],NextSeq 550,SRR5720316,"34,235,985",10.3G,4.1Gb,2018-05-01
SRX2937238[accn],NextSeq 550,SRR5720316,"34,235,985",10.3G,4.1Gb,2018-05-01
SRX2937237[accn],NextSeq 550,SRR5720317,"30,146,983",9G,3.6Gb,2018-05-01
SRX2937237[accn],NextSeq 550,SRR5720317,"30,146,983",9G,3.6Gb,2018-05-01
SRX2937246[accn],NextSeq 550,SRR5720308,"17,632,241",5.3G,2.1Gb,2018-05-01
SRX2937246[accn],NextSeq 550,SRR5720308,"17,632,241",5.3G,2.1Gb,2018-05-01
SRX2937245[accn],NextSeq 550,SRR5720309,"20,542,115",6.2G,2.5Gb,2018-05-01
SRX2937245[accn],NextSeq 550,SRR5720309,"20,542,115",6.2G,2.5Gb,2018-05-01
SRX2937225[accn],NextSeq 550,SRR5720329,"27,896,151",8.4G,3.3Gb,2018-05-01
SRX2937225[accn],NextSeq 550,SRR5720329,"27,896,151",8.4G,3.3Gb,2018-05-01
SRX2937226[accn],NextSeq 550,SRR5720328,"48,913,098",14.7G,5.8Gb,2018-05-01
SRX2937226[accn],NextSeq 550,SRR5720328,"48,913,098",14.7G,5.8Gb,2018-05-01
SRX2937223[accn],NextSeq 550,SRR5720331,"15,289,992",4.6G,1.8Gb,2018-05-01
SRX2937223[accn],NextSeq 550,SRR5720331,"15,289,992",4.6G,1.8Gb,2018-05-01
SRX2937224[accn],NextSeq 550,SRR5720330,"29,804,104",8.9G,3.5Gb,2018-05-01
SRX2937224[accn],NextSeq 550,SRR5720330,"29,804,104",8.9G,3.5Gb,2018-05-01
SRX2937229[accn],NextSeq 550,SRR5720325,"27,717,415",8.3G,3.3Gb,2018-05-01
SRX2937229[accn],NextSeq 550,SRR5720325,"27,717,415",8.3G,3.3Gb,2018-05-01
SRX2937230[accn],NextSeq 550,SRR5720324,"22,836,170",6.9G,2.7Gb,2018-05-01
SRX2937230[accn],NextSeq 550,SRR5720324,"22,836,170",6.9G,2.7Gb,2018-05-01
SRX3595722[accn],NextSeq 550,SRR6507277,"53,778,607",16.1G,6.2Gb,2018-05-01
SRX3595722[accn],NextSeq 550,SRR6507277,"53,778,607",16.1G,6.2Gb,2018-05-01
SRX3595721[accn],NextSeq 550,SRR6507278,"52,916,530",15.9G,6.1Gb,2018-05-01
SRX3595721[accn],NextSeq 550,SRR6507278,"52,916,530",15.9G,6.1Gb,2018-05-01
SRX556047[accn],454 GS FLX,SRR1303791,"565,746",156.9M,321.5Mb,2014-09-01
SRX556048[accn],454 GS FLX,SRR1303792,"465,336",128.5M,260.9Mb,2014-09-01
SRX556049[accn],454 GS FLX,SRR1303793,"529,371",147.3M,307.6Mb,2014-09-01
SRX556050[accn],454 GS FLX,SRR1303794,"584,915",162M,336.1Mb,2014-09-01
SRX556051[accn],454 GS FLX,SRR1303840,"761,365",437.2M,963.3Mb,2014-09-01
SRX556051[accn],454 GS FLX,SRR1303795,"268,763",75.8M,162Mb,2014-09-01
SRX556052[accn],454 GS FLX Titanium,SRR1303796,"1,379,101",771M,1.7Gb,2014-09-01
